ID,名称,建造时间,建筑面积,占地面积,层数,结构类型,层高,特殊情况,结构功能
0,清华大学汽车研究所,1990,0,3088.01083,4,框架结构,2.5,估计年份,办公楼
1,废品处理站,1990,0,199.62706,2,砖混结构,3,估计年份,后勤
2,化工实验楼1,1980,0,192.13436,2,砖混结构,3,估计年份,科研
3,化工实验楼2,1995,0,150.38925,2,砖混结构,3,估计年份,科研
4,化工实验楼3,1995,0,300.6179,2,砖混结构,3,估计年份,科研
5,汽车碰撞实验室1,1990,0,593.42221,2,框架结构,6,估计年份,科研
6,汽车碰撞实验室2,1990,0,353.38807,2,框架结构,6,估计年份,科研
7,汽车研究所1,1990,0,43.48146,2,框架剪力墙,3,估计年份,居民楼
8,汽车研究所2,1990,0,109.22696,2,框架剪力墙,3,估计年份,居民楼
9,汽车研究所3,1990,0,113.31825,2,框架剪力墙,3,估计年份,居民楼
10,汽车实验室1,1990,0,287.71983,1,框架结构,3.5,估计年份,科研
11,汽车实验室2,1990,0,50.2368,1,框架结构,3.5,估计年份,科研
12,高电压及绝缘技术研究所1,1970,0,391.33322,3,砖混结构,2.799999,估计年份,科研
13,高电压及绝缘技术研究所2,1970,0,930.91495,3,砖混结构,2.799999,估计年份,科研
14,高电压及绝缘技术研究所附楼1,1970,0,202.73116,3,砖混结构,2.799999,估计年份,科研
15,高电压及绝缘技术研究所附楼3,1970,0,553.81786,3,砖混结构,2.799999,估计年份,科研
16,清华大学出版社,1970,0,1484.62577,3,框架结构,2.5,估计年份,办公楼
17,印刷厂1,1970,0,366.8749,1,砖混结构,3,估计年份,后勤
18,印刷厂2,1970,0,759.5461,2,砖混结构,3,估计年份,后勤
19,印刷厂3,1970,0,1142.95847,3,砖混结构,3,估计年份,后勤
20,蒙民伟科技楼,2011,0,8427.00169,8,钢结构,2.5, ,办公楼
21,罗姆电子馆,2011,0,3948.27763,11,框架剪力墙,2.5, ,办公楼
22,大五金库,1980,0,1982.25789,2,框架结构,4,估计年份,后勤
23,五金库1,1980,0,128.70242,2,框架结构,3,估计年份,后勤
24,五金库2,1980,0,217.71158,2,框架结构,3,估计年份,后勤
25,五金库3,1980,0,199.36847,2,框架结构,3,估计年份,后勤
26,五金库4,1980,0,153.66107,2,框架结构,3,估计年份,后勤
27,五金库5,1980,0,43.76416,2,框架结构,3,估计年份,后勤
28,五金库6,1980,0,90.34207,2,框架结构,3,估计年份,后勤
29,五金库7,1980,0,29.43102,2,框架结构,3,估计年份,后勤
30,五金库8,1980,0,81.52329,2,框架结构,3,估计年份,后勤
31,五金库9,1980,0,42.3873,2,框架结构,3,估计年份,后勤
32,五金库10,1980,0,48.04696,2,框架结构,3,估计年份,后勤
33,锅炉房1,1970,0,1995.90581,3,框架结构,2.5,估计年份,后勤
34,锅炉房2,1970,0,1085.36165,3,框架结构,2.5,估计年份,后勤
35,综合体育馆,2008,0,10050.68928,1,钢结构,10,异形建筑,活动中心
36,射击馆,2009,0,3764.88419,2,框架结构,5, ,活动中心
37,东体育馆,1990,0,3373.30782,1,框架结构,4.5,估计时间,活动中心
38,游泳馆,2001,0,4070.02621,1,框架结构,10,异形建筑,活动中心
39,学生公寓16号楼,1990,0,549.05266,5,剪力墙结构,2.5,估计年份,学生公寓
40,学生公寓17号楼,1990,0,504.05943,5,剪力墙结构,2.5,估计年份,学生公寓
41,紫荆公寓18号楼,1990,0,553.78879,5,剪力墙结构,2.5,估计年份,学生公寓
42,闻馨园餐厅,1983,0,1299.22165,2,框架结构,3.2, ,餐厅
43,学生公寓15号楼,1990,0,873.30834,7,剪力墙结构,2.5,估计年份,学生公寓
44,汽车实验室3,1970,0,248.30847,2,砖混结构,2.5,估计年份,科研
45,汽车实验室4,1970,0,164.24218,2,砖混结构,2.5,估计年份,科研
46,学生就业中心,1970,0,716.50865,5,砖混结构,2.799999,估计年份,办公楼
47,汽车系办公室,1980,0,529.76985,3,框架结构,3,估计年份,办公楼
48,学生公寓11号楼,1990,0,693.1663,5,剪力墙结构,2.799999,估计年份,学生公寓
49,人文社科图书馆,2009,0,3777.7394,5,框架剪力墙,3.2,异形建筑,图书馆
50,土木馆,1995,0,630,4,框架结构,4, ,办公楼
51,空调实验室1,1995,0,2473.10503,1,砖混结构,4,估计年份,科研
52,土木系实验室1,1995,0,1753.21344,2,砖混结构,4,估计年份,科研
53,土木系实验室2,1995,0,199.76315,2,砖混结构,3,估计时间,科研
54,土木系实验室3,1995,0,295.66976,2,砖混结构,3,估计年份,科研
55,土木系实验室4,1995,0,182.51011,2,砖混结构,6,估计年份,科研
56,教材中心,1995,0,1199.59379,1,框架结构,2.799999,估计年份,图书馆
57,空调实验室2,1995,0,186.4005,2,砖混结构,3,估计年份,科研
58,学生公寓5号楼,1970,0,1138.79585,4,剪力墙结构,2.799999,估计年份,学生公寓
59,学生公寓6号楼,1970,0,1107.58815,4,剪力墙结构,2.799999,估计年份,学生公寓
60,量子信息中心,1990,0,749.36554,1,框架结构,3,估计时间,科研
61,心理咨询中心,1970,0,791.22954,4,剪力墙结构,2.799999,估计年份,办公楼
62,实验室设备处,1970,0,795.60623,4,剪力墙结构,2.799999,估计年份,办公楼
63,老化学馆,1931,0,1506.62378,4,砖混,3.2, , 办公楼
