"OBJECTID","POINT_X","POINT_Y"
0,498043.5729,315718.618
0,498102.1359,315717.9637
0,498103.1174,315662.3452
0,498097.5556,315662.9995
0,498095.2654,315653.5117
0,498093.9567,315650.24
0,498046.1903,315648.6042
0,498046.8446,315656.129
0,498044.2273,315656.129
0,498044.8816,315660.055
0,498053.388,315659.7279
0,498056.0053,315663.9811
0,498092.6481,315664.9626
0,498091.6666,315681.9753
0,498051.7521,315683.2839
0,498048.8076,315676.4134
0,498044.8816,315676.7406
0,498044.5544,315678.7036
0,498041.9371,315679.6851
0,498043.5729,315718.618
1,498106.0619,315735.9579
1,498126.0192,315734.9764
1,498127.3278,315724.1799
1,498121.1117,315723.8527
1,498119.803,315727.4516
1,498105.0804,315726.1429
1,498106.0619,315735.9579
2,498168.8781,315722.8712
2,498179.0203,315721.8897
2,498179.3475,315703.8955
2,498168.8781,315703.5683
2,498168.8781,315722.8712
3,498151.2111,315695.062
3,498157.1001,315695.3891
3,498159.7174,315687.5371
3,498170.1868,315687.2099
3,498169.2053,315681.3209
3,498152.1926,315682.6296
3,498151.2111,315695.062
4,498161.6804,315674.1232
4,498173.7856,315674.4504
4,498173.4585,315671.1787
4,498170.8411,315670.5244
4,498170.8411,315641.4065
4,498162.6619,315640.0978
4,498161.6804,315674.1232
5,498117.84,315676.0863
5,498131.581,315676.0863
5,498132.2354,315663.9811
5,498144.9949,315664.6354
5,498145.3221,315668.5614
5,498152.5197,315669.2157
5,498152.8469,315652.8574
5,498118.8215,315652.5302
5,498117.84,315676.0863
6,498118.4943,315698.988
6,498141.0689,315700.6238
6,498141.0689,315698.0065
6,498146.9579,315698.0065
6,498147.6122,315682.9568
6,498140.4145,315684.5926
6,498140.4145,315689.173
6,498125.0377,315690.1545
6,498126.0192,315683.2839
6,498119.803,315683.9383
6,498118.4943,315698.988
7,498023.9974,315732.3591
7,498033.1581,315731.4866
7,498033.1581,315726.6882
7,498024.8699,315727.1244
7,498023.9974,315732.3591
8,498045.3724,315738.9024
8,498058.8953,315736.2851
8,498059.3315,315731.0504
8,498045.8086,315727.9968
8,498045.3724,315738.9024
9,498075.908,315738.9024
9,498092.4845,315739.3387
9,498092.0483,315732.3591
9,498077.2167,315731.4866
9,498075.908,315738.9024
10,498095.9743,315636.3899
10,498119.9666,315636.8261
10,498119.9666,315624.1757
10,498096.8467,315624.6119
10,498095.9743,315636.3899
11,498136.5431,315635.5175
11,498144.3951,315636.8261
11,498146.14,315630.719
11,498136.5431,315630.2828
11,498136.5431,315635.5175
12,498090.6851,315576.1008
12,498099.1914,315576.7551
12,498101.8088,315530.9516
12,498093.3024,315530.2973
12,498090.6851,315576.1008
13,498053.388,315573.4834
13,498080.2157,315574.1378
13,498080.87,315568.2487
13,498077.2712,315567.9216
13,498078.907,315529.3158
13,498063.5302,315528.9886
13,498062.2215,315546.6557
13,498054.6966,315547.31
13,498053.388,315573.4834
14,498154.1556,315596.058
14,498164.9521,315596.7123
14,498165.9336,315577.7366
14,498154.8099,315578.0638
14,498154.1556,315596.058
15,498104.7533,315520.8094
15,498154.4827,315522.4453
15,498154.8099,315511.6488
15,498105.0804,315509.3586
15,498104.7533,315520.8094
16,498062.5487,315457.9933
16,498127.655,315460.6106
16,498127.655,315438.3632
16,498063.203,315434.4372
16,498062.5487,315457.9933
17,498076.944,315422.9863
17,498131.581,315425.6037
17,498132.2354,315418.0788
17,498086.7591,315416.443
17,498086.4319,315419.7147
17,498076.944,315419.0603
17,498076.944,315422.9863
18,498064.8388,315416.443
18,498082.5059,315416.1158
18,498084.7961,315375.547
18,498064.8388,315376.2014
18,498064.8388,315416.443
19,498084.1417,315393.8684
19,498120.4573,315395.1771
19,498121.1117,315410.2268
19,498134.8527,315410.2268
19,498134.8527,315399.1031
19,498132.2354,315398.7759
19,498133.8712,315375.2199
